key,리콜,품질표시,법적평판,5년이내,비고,조사일
frankford,통과,통과,탈락,O,2023 Candy Land Gummy Dots 질식으로 유아 영구장애(뇌손상·사지마비) 제조물책임·경고표시 미비 소송(Frankford+Hasbro·2022 사고) · 리콜은 확인 안 됨,2026-07-23
tyson,탈락,통과,통과,O,2025 냉동 치킨스트립 약 1183만 파운드 금속 이물질 리콜 · Fun Nuggets 금속 이물질(2024·경미한 구강부상) · 언더프로세싱 텐더로인 리콜 등 다수 · Tyson Foods,2026-07-23
froot loops,통과,통과,탈락,O,인공색소(Red40·Yellow5/6·Blue1) 관련 Texas 검찰총장 소비자보호법 위반 조사·2027까지 색소제거 법적구속 합의 · 리콜은 없음 · WK Kellogg,2026-07-23
kikkoman,통과,통과,통과,-,Kikkoman 자체 리콜·소송 검색결과 없음(호주/UAE 소이소스 회수는 타 브랜드),2026-07-23
applegate,탈락,통과,통과,X,2014·2016 치킨너겟 플라스틱 이물질 리콜(Perdue 제조) · 글루텐프리 너겟 글루텐 함유 오표시 리콜 · 모두 5년 이전,2026-07-23
banquet,탈락,통과,탈락,O,2023 Banquet 냉동 치킨스트립 약 245366파운드 플라스틱 이물질 리콜(구강부상·Conagra) · 리콜 피해 관련 집단소송(O'Sullivan v. Conagra·뉴욕),2026-07-23
ragú,탈락,통과,통과,X,2019 라구 파스타소스 약 21.6만 파운드 플라스틱 조각 리콜(Mizkan·3종·부상보고 없음) · 5년 이전,2026-07-23
high liner,탈락,통과,통과,O,High Liner 브레디드 피시(피시스틱·너겟) 우유 미표시 알레르겐 리콜(캐나다·발병 1건 보고) · 정확한 연도는 불명확(참고),2026-07-23
realgood foods,통과,통과,통과,-,Real Good Foods Co. 자체 확정 리콜·소송 불명확(유사상호 'Real Foods'·'Good Foods Group' 치킨 오표시 리콜은 별개 법인 가능성) · 조리온도/덜익음 소비자 불만 보고(참고 플래그),2026-07-23
aunt millie,탈락,통과,통과,O,2024.9 Aunt Millie's Bakehouse 빵·번 참깨(sesame) 미표시 알레르겐 리콜(FDA Class I 최고위험) · 2023 FDA 경고서한(Perfection Bakeries),2026-07-23
bear fruit,통과,통과,통과,-,브랜드(BEAR·Real Fruit Yoyos) 리콜·소송 검색결과 없음,2026-07-23
wan ja shan,탈락,통과,통과,X,2001 호주 ANZFA 소이소스 3-MCPD(클로로프로판올) 초과 검출 리콜(해외·매우 오래됨) · 이후 미국 리콜·소송은 없음,2026-07-23
ka-me,통과,통과,통과,-,Ka-Me 자체 리콜·소송 없음(2023 하와이 아시안소스 대두 미표시 리콜은 'Kagome' 브랜드로 별개) · 2021 Prop65 통지 있음,2026-07-23
turano,통과,통과,통과,-,브랜드(Turano·Campagna-Turano Bakery) 리콜·소송 검색결과 없음(Pillsbury·Piantedosi 롤 리콜은 타 브랜드),2026-07-23
pommery,통과,통과,통과,-,브랜드(Pommery Moutarde de Meaux) 리콜·소송 검색결과 없음,2026-07-23
bookbinders,통과,통과,통과,-,브랜드(Bookbinders) 리콜·소송 검색결과 없음,2026-07-23
cafe bustelo,통과,탈락,탈락,O,'Pure' 표기 대비 디카페인 에스프레소 메틸렌클로라이드 130ppb 검출 허위표시 소송(Clean Label Project·J.M. Smucker/Rowland) · 정식 리콜은 없음,2026-07-23
starbucks,통과,통과,탈락,O,2026 디카페인 커피 미표시 휘발성유기화합물(메틸렌클로라이드·벤젠·톨루엔) 및 '100% 윤리적 소싱' 허위마케팅 집단소송 · VIA 인스턴트는 스위스워터(무용제) 공정·특정 리콜 없음,2026-07-23
chobani,통과,통과,통과,-,2025 '천연 성분만' 표기 대비 프탈레이트 함유 집단소송(PlasticList 2024 검사) 제기됐으나 법원 각하 시사 · 2025 기준 리콜 없음,2026-07-23
black forest,통과,통과,탈락,O,2026 Ferrara 캔디(Black Forest 구미 포함) 비소 과다 함유 집단소송(플로리다 보건당국 검사·10개중 8개 검출·NCA 반박) · 과거 슬랙필 포장 집단소송 합의 · 리콜은 없음,2026-07-23
eden foods,탈락,통과,통과,O,2022 Eden 유기농 사과주스 파툴린(곰팡이독소) 리콜(머스터드와 다른 품목) · 건조 해조류 무기비소 Prop65 소송 합의($27500·시정) · Eden Foods,2026-07-23
silver spring,통과,통과,통과,-,Silver Spring 브랜드 머스터드/홀스래디시 자체 리콜·소송 없음 · 제조사가 만든 PB 타르타르소스(Waterfront Bistro) 계란 미표시 오라벨 리콜(2017경)은 별개 제품,2026-07-23
bettergoods,통과,탈락,탈락,O,'Plant-Based' 표기 대비 비식물성 성분(탄산칼슘·인산칼륨·비타민A팔미테이트) 함유 집단소송($500만·플로리다·아몬드/오트/소이밀크) · Walmart PB,2026-07-23
delallo,통과,통과,통과,-,브랜드(DeLallo) 리콜·소송 검색결과 없음,2026-07-23
azera,통과,통과,통과,-,Nescafé Azera Americano 자체 리콜·소송 검색결과 없음,2026-07-23
bluey fruit,통과,통과,통과,-,'Bluey'(라이선스) 과일스낵 자체 리콜·소송 없음(GreenWise 블루베리·WanaBana 등은 타 제품),2026-07-23
golden coconut,통과,통과,통과,-,'Golden Coconut' 마카롱 자체 리콜·소송 없음(Golden King 코코넛번·Sunrise 마카롱 리콜은 타 브랜드),2026-07-23
tesco finest,통과,통과,통과,-,Tesco Finest 인스턴트커피 자체 리콜·소송 없음(영국 수입품·Magnum 아이스크림 등 타 제품 리콜과 무관),2026-07-23
m&s americano,통과,통과,통과,-,M&S 인스턴트커피 자체 리콜·소송 없음(영국 수입품·M&S 컵 등 비식품 리콜과 무관),2026-07-23
huy fong,탈락,통과,통과,X,2019 특정 배치 유산발효로 병 팽창·분출 위험 리콜(유럽/호주/NZ 등) · Underwood Ranches 공급계약 분쟁서 패소 $2330만 배상(B2B·소비자 이슈 아님) · 5년 이전,2026-07-23
frank's redhot,탈락,통과,통과,O,2021 Frank's RedHot 버팔로랜치 시즈닝(+McCormick 이탈리안시즈닝) 살모넬라 우려 리콜(32개주·질병보고 없음) · 노출된 카옌 핫소스 본품과는 다른 품목 · McCormick,2026-07-23
valentina,통과,통과,통과,-,멕시코 핫소스 납 검사(UNLV)서 Valentina는 정상 수준(과다 아님) · 2013 Prop65 납 소송은 Bufalo 등 타 브랜드 · 자체 리콜·소송 없음,2026-07-23
laoganma,탈락,통과,통과,O,2025 영국 Laoganma 블랙빈 칠리소스 땅콩 미표시 리콜(Fortune Foods) · 2026 칠리크리스프 납 Prop65 통지(캘리포니아) · 미국 본품 리콜은 아님,2026-07-23
torani,통과,탈락,통과,O,Torani 바닐라시럽 표시 허위광고 집단소송(R. Torre & Co) · 리콜 이력은 없음,2026-07-23
tastelli,통과,통과,통과,-,Tastelli 자체 리콜·소송 없음 · 콘약(konjac)젤리 카테고리는 질식위험으로 FDA 소형컵 수입금지·다수 리콜 이력 — 제품형태/규정준수 확인 권장(참고 플래그),2026-07-23
yum!brew,통과,통과,통과,-,Yum!Brew 자체 리콜·소송 없음(2025 인스턴트커피 유리조각 리콜은 Clover Valley/Dollar General 건),2026-07-23
ragu,탈락,통과,통과,X,2019 라구 파스타소스 약 21.6만 파운드 플라스틱 조각 리콜(Mizkan·3종) · 5년 이전 (무악센트 표기 매칭용·ragú 행과 동일),2026-07-23
country bob,통과,통과,통과,-,브랜드(Country Bob's) 리콜·소송 검색결과 없음,2026-07-23
iqbar,통과,탈락,탈락,O,2025 식물성 단백질바 표기 단백질 과장 집단소송(Shahinian v. IQBar 계류·Jue 건은 취하·완두단백 생체이용률) · 리콜 이력은 없음,2026-07-23
jennies,통과,통과,통과,-,브랜드(Jennies·유기농 코코넛 마카롱) 리콜·소송 없음(New Grains 마카롱 알레르겐 리콜은 타 브랜드),2026-07-23
firstchoicecandy,통과,통과,통과,-,브랜드(FirstChoiceCandy) 리콜·소송 검색결과 없음,2026-07-23
ritz,탈락,통과,통과,X,2018 Ritz 치즈크래커샌드위치·Ritz Bits 등 16종 유청분말 살모넬라 우려 리콜(질병보고 없음) · 관련 소송 제기 · Mondelez · 5년 이전,2026-07-23
trader joe,탈락,통과,탈락,O,2024-25 다수 리콜(바질 살모넬라·냉동와플 리스테리아·아사이볼 플라스틱 65만개·치킨수프덤플링 이물질 등) · Chile Spiced Mango 납 Prop65 소송 합의(2026.1),2026-07-23
good thins,통과,통과,통과,-,GOOD THINS 자체 리콜·소송 없음(Mondelez 계열 Wheat Thins '100% 홀그레인' $1000만 합의·Ritz 살모넬라 리콜은 다른 제품),2026-07-23
ghost protein,통과,통과,통과,-,Ghost 프로틴시리얼 자체 리콜·소비자 소송 없음 · Mondelez v. Ghost는 캔디 파트너십 종료 B2B 분쟁 · Premier 납 소송은 타 브랜드,2026-07-23
honey bunches,탈락,통과,통과,O,2025.5 Honey Bunches of Oats 위드 아몬드 금속 이물질 리콜(약 5300박스·FDA Class II·Sam's Club CA/CO·매장 진열 전 회수) · Post,2026-07-23
juicy juice,통과,통과,탈락,X,'면역·두뇌발달' 건강효능 허위광고 집단소송(9순회항소 부활·Nestle) · Consumer Reports 프루트펀치 납 우려(리콜 없음) · 소송은 다소 오래됨,2026-07-23
tree top,통과,탈락,통과,O,'100% 사과주스' 표기 대비 숨은 첨가물 집단소송 · 2024 비소 사과주스 리콜은 Refresco 생산 타 브랜드로 Tree Top 무관,2026-07-23
purely elizabeth,탈락,통과,통과,O,다수 리콜 — 2019 그래놀라 플라스틱/유리/돌 이물질(캐슈) · 초코씨솔트 프로바이오틱 호두 미표시 오라벨 · 2025.11 에인션트그레인 그래놀라 섬유 이물질,2026-07-23
simply apple,통과,통과,통과,-,Simply 브랜드(Coca-Cola) PFAS 집단소송은 2회 각하(증거불충분·승소) · 리콜 없음 (simply lemonade 행과 동일 브랜드),2026-07-23
real good,통과,통과,통과,-,Real Good Foods Co. 자체 확정 리콜·소송 불명확(유사상호 'Real Foods' 리콜은 별개 법인 가능성)·조리온도 소비자 불만 보고 (realgood foods 행과 동일·공백표기 매칭용),2026-07-23
cholula,탈락,통과,통과,X,2016 Cholula 칠리갈릭 핫소스 오라벨 시장회수(건강영향 낮음) · 5년 이전 · 이후 리콜·소송 없음,2026-07-23
fritos,통과,통과,통과,-,Fritos 자체 리콜·소비자 소송 없음(2025 Tostitos/Miss Vickie's 우유 미표시 리콜은 다른 Frito-Lay 제품·2012 Scoops 모방은 B2B IP소송),2026-07-23
king's hawaiian,탈락,통과,통과,O,2022.8 프레첼 슬라이더/햄버거번·바이트 원료(밀가루) 미생물오염 우려 리콜(Cronobacter/보툴리누스·질병보고 없음) · '하와이산 아님(실제 Torrance CA)' 원산지 표시 집단소송은 각하/취하,2026-07-23
nature's own,탈락,통과,통과,O,2021.12 Flowers Foods가 Nature's Own 허니휘트 3000로프 우유 미표시 리콜(버터브레드 오포장·6개주) · 배달기사 임금 집단소송은 제품과 무관,2026-07-23
snapple,통과,탈락,탈락,O,'올내추럴' 표방 대비 합성 시트르산·착색제(농축즙/베타카로틴) 함유 표시 집단소송 다수(Keurig Dr Pepper) · 일부 각하(2024.3)·일부 계류 · 리콜 없음,2026-07-23
olivari,통과,탈락,통과,O,Olivari '100% 퓨어 아보카도오일' 타 오일 혼입 허위광고 집단소송(Sam's Club·UC Davis 검사·계류) · 노출된 그레이프시드오일과는 다른 품목 · 리콜 없음,2026-07-23
louisiana brand,통과,통과,통과,-,'Louisiana' 브랜드 핫소스 자체 리콜·소송 없음(검색된 핫소스 리콜은 Texas Pete·Fat Cat 등 타 브랜드),2026-07-23
mrs. baird,통과,통과,탈락,X,1990년대 가격담합(반독점) 유죄 $1000만 벌금·집단소송(매우 오래됨) · 2015 Bimbo 빵 전구파편 리콜은 브랜드 귀속 불명확 · 최근 이슈는 없음,2026-07-23
toasteds,통과,탈락,통과,O,Toasteds 하베스트휘트 크래커 홀그레인 함량 과장 표시 집단소송(주원료 정제밀가루) · Keebler PB크래커 살모넬라 리콜은 다른 제품 · 리콜 없음,2026-07-23
ready protein,통과,통과,통과,-,'Ready' 프로틴바 자체 리콜·소송 없음(SimplyProtein·Built·David 등은 타 브랜드),2026-07-23
shirakiku,탈락,통과,통과,O,2025 Shirakiku 커비퍼프(커리) 우유 미표시·한국김 참깨 미표시 알레르겐 리콜(Wismettac·38개주) · 노리마키아라레 중금속 검출은 개인 블로거 검사 수준,2026-07-23
country pride,통과,통과,통과,-,'Country Pride' 치킨 자체 리콜·소송 없음(Perdue·Pilgrim's Pride 리콜은 타 브랜드),2026-07-23
heysweet,통과,통과,통과,-,HeySweet 자체 리콜·소송 없음 · 커피젤리(콘약 konjac 함유)는 질식위험 카테고리로 FDA 소형컵 규제 이력 — 제품형태/규정준수 확인 권장(참고 플래그),2026-07-23
hunt,탈락,통과,통과,O,Hunt's 토마토페이스트 곰팡이 리콜(2019·2023)·칠리키트 향신료 살모넬라 리콜 등(Conagra) · 케첩 본품 리콜은 아님,2026-07-23
trojan,통과,통과,탈락,O,2024 Trojan Ultra Thin PFAS(영구화학물질) 미표시 함유 집단소송($500만·Church & Dwight) · 'Made in USA' 표시 집단소송 · 리콜 없음,2026-07-23
now foods,탈락,통과,탈락,O,다수 리콜(포스파티딜세린 라벨미달·스프라우팅믹스·2024 XyliWhite 코코넛오일 치약 2.7만개) · 어유 PCB 소송·카드뮴/납 Prop65 합의판결($26만) · NOW Health Group,2026-07-23
louisiana crystal,통과,통과,통과,-,Crystal 핫소스(Baumer Foods) 자체 리콜·소송 검색결과 없음,2026-07-23
zatural,통과,통과,통과,-,브랜드(Zatural) 그레이프시드오일 자체 리콜·소송 없음(APS Pharmacy 컴파운드 의약품 grapeseed oil 리콜은 무관),2026-07-23
formaggio,탈락,통과,통과,O,2023.8 Formaggio 매리네이티드 모짜렐라 컵 리콜 · 2013 프레시모짜렐라(초리조·실란트로) 대두 미표시 오표시 리콜,2026-07-23
shearer,탈락,통과,통과,X,2016 향신료 살모넬라·2018 Meijer 딜피클칩 우유 미표시 리콜 · 2021 아크릴아마이드 Prop65 합의(2022·시정) · 최근 대형 리콜은 아님,2026-07-23
santitas,통과,통과,통과,-,Santitas 자체 리콜·소송 없음(2025 Tostitos 우유 미표시 리콜은 다른 Frito-Lay 제품),2026-07-23
idahoan,통과,탈락,통과,O,'버터&허브' 인스턴트 매시트포테이토 버터 함량 미미 허위광고 집단소송 · 해시브라운 아크릴아마이드 Prop65 민원 · Lamb Weston 해시브라운 리콜은 타 브랜드로 무관,2026-07-23
mazola,통과,탈락,탈락,O,'100% 퓨어' 카놀라오일 헥산 함유 허위광고 집단소송(ACH Food) · 1990-91 FTC 콜레스테롤 허위광고 제재(동의명령) · 리콜 이력은 없음,2026-07-23
crisco,통과,통과,통과,-,2007 트랜스지방 제거 재조성(FDA <0.5g 규정) · Crisco 자체 리콜·소송 검색결과 없음,2026-07-23
red gold,통과,통과,통과,-,Red Gold 자체 리콜·소송 없음(Gold Star Distribution 비위생 리콜은 Heinz 등 타 브랜드),2026-07-23
le sueur,통과,통과,통과,-,Le Sueur 자체 리콜·소송 없음(B&G→Seneca 매각·Sager Creek 필드피 리콜은 타 브랜드),2026-07-23
golden grill,통과,통과,통과,-,Golden Grill(Basic American Foods) 자체 리콜·소송 없음(Lamb Weston·McCain 해시브라운 리콜은 타 브랜드),2026-07-23
chef-mate,통과,통과,통과,-,Chef-mate(Nestlé Professional) 자체 리콜·소송 없음(Nestle Lean Cuisine/Stouffer's 리콜·Coffee-Mate 소송은 다른 제품),2026-07-23
summ,탈락,통과,통과,X,2020 캐나다 CFIA Summ! 치킨교자 뼈조각 혼입 리콜(Fine Choice Foods) · 5년 이전·해외,2026-07-23
caribbean food,통과,통과,통과,-,Caribbean Food Delights 자체 리콜·소송 없음(Jamaican Tastee Patties 무검사 리콜은 별개 회사),2026-07-23
lifesavers,탈락,통과,통과,O,2022 Mars Wrigley 라이프세이버 구미 금속조각 리콜(Skittles/Starburst 동반) (life savers 행과 동일·무공백 표기 매칭용),2026-07-23
whataburger,통과,통과,통과,-,Whataburger 케첩 자체 리콜·소송 없음(양파 알레르기·상표·양파오염 소송은 매장 운영 관련으로 케첩 제품과 무관),2026-07-23
frigo,통과,통과,통과,-,Frigo Cheese Heads 공식 리콜·소송 확인 안 됨 · 곰팡이·금속·플라스틱 이물질 소비자 불만 다수 신고(iwaspoisoned) · 참고 플래그,2026-07-23
synergy,탈락,탈락,탈락,X,'무알코올' 표방 대비 알코올 2-3% 함유 집단소송 $825만 합의(2017·GT's/Synergy) · Island Bliss 알코올 초과 리콜 · 주요 건은 다소 오래됨,2026-07-23
el viajero,통과,통과,통과,-,El Viajero 특정 리콜 확인 안 됨 · 단 2024 파넬라/케소프레스코 리스테리아 사망 outbreak(Rizo-López 등 다수 멕시코 치즈 리콜) 카테고리 리스크 — 공급원 확인 권장(참고 플래그),2026-07-23
blue stripes,통과,통과,통과,-,브랜드(Blue Stripes·카카오 슈퍼프루트 구미) 리콜·소송 검색결과 없음,2026-07-23
quaker,탈락,통과,탈락,O,2023.12-2024.1 그래놀라바·시리얼 90+종 살모넬라 대규모 리콜(Danville IL 공장·2020-23 균 검출·2024.6 공장폐쇄) · 집단소송 $675만 합의 · Quaker Oats,2026-07-23
raisin bran,통과,탈락,탈락,O,'심장건강/약간단맛' 표방 대비 과다당 허위광고 집단소송 $1300만 합의(2016-21·레이즌브랜/미니휘트 등·Kellogg) · 리콜 없음,2026-07-23
nutri-grain,통과,탈락,탈락,O,'건강' 표방 및 글리포세이트 함유 집단소송(2018·Kellogg 건강표방 $1300만 합의 포함) · Eggo Nutri-Grain 와플 리스테리아 리콜(과거·Eggo 브랜드) · 본품 바 리콜은 확인 안 됨,2026-07-23
bob's red,통과,통과,탈락,O,아마씨밀 카드뮴(6.1μg/serving·Hayden v. Bob's Red Mill 2023) · 차전자피 납 소송(LA)·2018 글리포세이트 집단소송 · 리콜 이력은 없음,2026-07-23
premier protein,탈락,통과,탈락,O,Premier Protein 셰이크 2022 Cronobacter/보툴리누스 리콜(Lyons Magnus·53종) · 단백질 함량 표시 $900만 합의(2018)·납 소송(2023·대부분 2024 각하) · 노출된 시리얼과는 다른 품목이나 동일 브랜드,2026-07-23
yellowbird,통과,통과,통과,-,Yellowbird 자체 리콜·소송 없음(Texas Pete·Mr. Bing·Huy Fong 스리라차 리콜은 타 브랜드),2026-07-23
the only bean,통과,탈락,탈락,O,'고단백 슈퍼스낵' 표기 대비 소화보정 단백질 미표시 집단소송(2026·캘리포니아) · 리콜 이력은 없음,2026-07-23
langers,통과,탈락,탈락,O,'100% 주스' 표기 대비 합성첨가물(아스코르브/구연산 등) 함유 집단소송 다수(2025) · 2007 FDA 경고서한·2021 불안전 생산 B2B 소송 · 리콜 이력은 없음,2026-07-23
nutrail,통과,통과,통과,-,브랜드(NuTrail·키토 넛 그래놀라) 리콜·소송 검색결과 없음,2026-07-23
crispy green,통과,통과,통과,-,Crispy Green 자체 리콜·소송 없음(Tru Fru 냉동건조 금속 리콜은 타 브랜드),2026-07-23
old orchard,통과,탈락,탈락,X,'100% 주스' 표기 오인 집단소송 합의(리베이트 쿠폰·Mathias v. Old Orchard) · 리콜 이력은 없음 · 소송시기 다소 오래됨 추정,2026-07-23
lakewood,탈락,통과,통과,X,Lakewood 유기농 프레시프레스드 사과주스 무기비소 FDA 한도 초과 리콜 · FDA 경고서한(질병 치료 표방=미승인 신약) · 시기 다소 오래됨 추정,2026-07-23
sweetgourmet,통과,통과,통과,-,SweetGourmet 자체 리콜·소송 없음(7-Eleven/Hapi 와사비 표시 소송은 타 브랜드),2026-07-23
allen,탈락,통과,통과,X,2016 Sager Creek Allens 컷그린빈·필드피 조개류 미표시/이물질 우려 리콜 · Lakeside·New Era 보툴리누스 리콜은 타 브랜드 · 5년 이전,2026-07-23
giorgio,통과,통과,통과,-,Giorgio 버섯 자체 리콜·소송 최근 검색결과 없음(에노키 리스테리아 리콜은 타 브랜드),2026-07-23
giovanni rana,탈락,통과,통과,O,2026.5 러스틱비프&부라타 라비올리 새우/랍스터 미표시 리콜(Costco MD/NJ) · 2025 영국 라자냐 갑각류 오포장 리콜 · Rana,2026-07-23
cento,통과,탈락,탈락,O,'Certified San Marzano' 표기가 DOP 아닌 Agri-Cert 인증이라며 원산지 허위표시 집단소송($2500만·캘리포니아·Cento는 부인) · 리콜 이력은 없음,2026-07-23
lipton,탈락,통과,통과,O,2025 립톤 그린 아이스티 오라벨 리콜(다이어트 표기에 실제 설탕 25g·PepsiCo·10개주·FDA Class II),2026-07-23
emergen-c,통과,탈락,탈락,O,면역·에너지 효능 허위광고 집단소송 $645만 합의(2014) · '천연향료' DL-말산 표시·구미 비타민C/엘더베리 함량 과장 집단소송(최근) · 리콜 없음,2026-07-23
true lemon,통과,탈락,탈락,O,'크리스탈라이즈드 레몬/천연향료' 표기 대비 합성 DL-말산·구연산 함유 집단소송(2020·Grand Brands) · 리콜 이력은 없음,2026-07-23
cosori,탈락,통과,탈락,O,2023 CPSC Cosori 에어프라이어 200만대+ 화재/화상 위험 리콜(205건 화재·10건 화상·소송 다수) · 노출 제품은 디하이드레이터(주방가전·비식품),2026-07-23
nature's twist,통과,통과,통과,-,Nature's Twist 자체 리콜·소송 없음(Lemon Perfect 소송은 타 브랜드),2026-07-23
sublime desserts,탈락,통과,통과,O,2022.12 Sublime Desserts가 Member's Mark 홀리데이 마카롱 14.88만개 플라스틱 이물질 리콜(Sam's Club·FDA Class II),2026-07-23
de la cruz,통과,통과,통과,-,De La Cruz 그레이프시드오일(스킨/헤어용) 리콜·소송 없음,2026-07-23
perfect choice,통과,통과,통과,-,Perfect Choice 바질페스토 자체 리콜·소송 없음(JBS 'Comnor Perfect Choice' 소고기 살모넬라 리콜은 다른 제품·Cucina&Amore 페스토 리콜은 타 브랜드),2026-07-23
best foods,통과,통과,통과,-,Best Foods(=Hellmann's·Unilever) 리콜 없음 · Just Mayo 소송은 자진취하 · 'With Olive Oil' 함량 집단소송은 노출된 Real Mayonnaise와 무관(hellmann 행과 동일 브랜드),2026-07-23
california olive ranch,통과,통과,탈락,O,카바릴 농약 잔류 Prop65 소송 합의($38.5만·2024·시정) · 납 화합물 Prop65 합의($2만·2025) · 리콜·혼입 소송은 없음,2026-07-23
ken's,통과,탈락,통과,O,'Olive Oil' 드레싱이 실제 카놀라/대두 등 필러오일 위주(올리브오일 2-6%) 표시 집단소송(Skinner v. Ken's Foods·2018 라벨수정) · 리콜 이력은 없음,2026-07-23
mccain,탈락,통과,통과,O,2023 캐나다 McCain 스테이크리스프 프라이 글루텐/밀 미표시 리콜 · 2024 영국 McCain 인도산 제품 머스터드/셀러리·산화에틸렌 리콜 · 미국 리콜은 아님,2026-07-23
pura d'or,통과,통과,통과,-,PURA D'OR(헤어/스킨케어) 자체 리콜·소송 없음 · 'Pura Scents' 디퓨저 자석 리콜은 별개 회사·비식품,2026-07-23
andy capp,탈락,통과,통과,X,2013 Andy Capp's 핫프라이즈 체다맛 오포장으로 대두 미표시 리콜(약 756케이스·ConAgra) · 5년 이전,2026-07-23
chester,통과,통과,통과,-,Chester's 자체 리콜·소송 없음(Lay's·Tostitos·Miss Vickie's 우유 미표시 리콜은 다른 Frito-Lay 제품),2026-07-23
dale's,통과,통과,통과,-,Dale's 스테이크 시즈닝 자체 리콜·소송 검색결과 없음,2026-07-23
divina,탈락,통과,통과,X,2011 FoodMatch Divina 스터프드올리브(페타/블루치즈) 보툴리누스 우려 리콜(UNFI 온도관리 실패) · 노출된 비건페스토와 다른 품목 · 5년 이전,2026-07-23
nature's garden,통과,통과,통과,-,Nature's Garden 트레일믹스/스낵 자체 리콜·소송 검색결과 없음,2026-07-23
gogo squeez,탈락,통과,통과,X,2015 파우치 곰팡이(건강위험 없음)·2016 설비 식품잔류물 리콜(MDARD) · 5년 이전,2026-07-23
arizona,통과,탈락,탈락,O,'올내추럴/100% 내추럴' 표기 대비 합성성분(착색·HFCS·말산·에리스리톨 등) 함유 집단소송 다수 · 'Lite' 아놀드파머 당/칼로리 오인 소송(계류) · 일부 각하 · 리콜 없음,2026-07-23
bibigo,탈락,통과,통과,O,2024 Bibigo 새우만두 계란 미표시 알레르겐 리콜(필리핀/호주/싱가포르·CJ) · 노출된 치킨&야채 미니완탕과는 다른 품목 · 미국 리콜은 아님,2026-07-23
filippo berio,통과,탈락,탈락,X,'Imported from Italy' 원산지 오인 표시 집단소송 합의(2014·병당 50센트·Salov) · 엑스트라버진 기준 미달 주장 · 리콜 이력은 없음 · 다소 오래됨,2026-07-23
snickers,탈락,통과,통과,X,2016 스니커즈 플라스틱 조각 혼입으로 55개국 리콜(네덜란드 공장·질식위험) · Dove 어소트먼트 내 스니커즈 등 알레르겐 미표시 리콜 · Mars · 주요 건 5년 이전,2026-07-23
betty crocker,탈락,통과,통과,O,베티크로커 케이크믹스 대장균(오염 밀가루) 리콜(2016)·Gold Medal 밀가루 살모넬라 리콜(2023 연계) · 노출 제품(Fruit Gushers)은 gushers 행 참조 · General Mills,2026-07-23
helper,통과,통과,탈락,X,2000-2016 Hamburger/Tuna/Chicken Helper 부분경화유(트랜스지방) 함유 집단소송(캘리포니아) · 리콜 이력은 없음 · 다소 오래됨,2026-07-23
innovasian,탈락,통과,통과,O,2022 크리스피치킨위드아몬드 오표시·새우 미표시 리콜(약 6103파운드·Walmart 28개주) · 2016 치킨프라이드라이스 리스테리아 리콜 · InnovAsian,2026-07-23
popchips,통과,통과,통과,-,Popchips 자체 리콜·소송 없음(2025 슬랙필 집단소송은 PopCorners 건·2018 ASU 공기함량 조사는 소송 아님),2026-07-23
twin dragon,통과,통과,통과,-,Twin Dragon 완탕피 자체 리콜·소송 검색결과 없음,2026-07-23
ty ling,통과,통과,통과,-,Ty Ling 핫머스타드 자체 리콜·소송 없음(China Lily·Chongqing 소스 리콜은 타 브랜드),2026-07-23
amoy,통과,통과,통과,-,Amoy 포크완탕 자체 리콜·소송 없음(Red Bowl·Ajinomoto·Wonton King 완탕 리콜은 타 브랜드),2026-07-23
chips ahoy,탈락,통과,통과,O,2025.12 Chips Ahoy 베이크드바이츠 브루키 콘스타치 덩어리 질식위험 리콜 · 2019 츄이 칩스아호이 굳은 이물질 리콜(건강불만) · Mondelez,2026-07-23
utz,탈락,통과,통과,O,2026 Zapp's·Dirty 감자칩 시즈닝 유청분말 살모넬라 리콜(FDA Class I)·2024 Utz Wavy 우유 미표시 리콜 · Utz Quality Foods,2026-07-23
herr,탈락,통과,탈락,X,스모크드치포틀레·크랙드페퍼 감자칩 살모넬라(시즈닝) 리콜·글루텐프리 오표시 리콜(2016경) · 과대포장(슬랙필 54%) 집단소송 · 다소 오래됨,2026-07-23
vlasic,통과,통과,통과,-,Vlasic 자체 리콜·소송 검색결과 없음(Claussen·보툴리누스 피클 리콜은 타 브랜드),2026-07-23
crazy richard,통과,통과,통과,-,Crazy Richard's 자체 확정 리콜·소송 없음 · 2018 아크릴아마이드 Prop65 통지 제기됐으나 철회 · Jif 등 타 브랜드 리콜과 무관,2026-07-23
arnott,통과,통과,통과,-,2022 아크릴아마이드 Prop65 소송(EHA v. Arnott's·베이크드류 공통 이슈) · 리콜 이력은 없음,2026-07-23
st pierre,탈락,통과,통과,O,St Pierre 팽오쇼콜라 곰팡이 우려 리콜(영국) · 미국 브리오슈 롤 리콜은 아님(Bakery Group 브리오슈 알레르겐 리콜은 별개 회사) · 시기 불명확,2026-07-23
gamesa,탈락,통과,통과,O,2022 Gamesa 아르코이리스 마시멜로쿠키 살모넬라 리콜(PepsiCo) · 아크릴아마이드 Prop65 소송(로스카스) · 노출된 Mamut과는 다른 품목,2026-07-23
sweetart,통과,통과,탈락,O,2026 Ferrara 캔디(SweeTARTS 포함) 비소 과다 함유 집단소송(플로리다 검사·10개중 8개·NCA 반박) · 리콜은 없음 · Ferrara,2026-07-23
